Vulnerability Category,Source Path,Source File,Vulnerable Line,Full Path,Path_Line,Common Function,Remediation Date,Assigned Team,Assigned Developer
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),/agia_code/aia/Common/iPoSLogin/,AgtLogin.asp,32,/agia_code/aia/Common/iPoSLogin/AgtLogin.asp,/agia_code/aia/Common/iPoSLogin/AgtLogin.asp:32,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),/agia_code/aia/Operation/cyo/,PSI_ULMain.asp,501,/agia_code/aia/Operation/cyo/PSI_ULMain.asp,/agia_code/aia/Operation/cyo/PSI_ULMain.asp:501,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),/agia_code/aia/Policy/,sel_agy_agt_20160409.js,44,/agia_code/aia/Policy/sel_agy_agt_20160409.js,/agia_code/aia/Policy/sel_agy_agt_20160409.js:44,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),/agia_code/aia/Policy/,sel_agy_agt_20160409.js,75,/agia_code/aia/Policy/sel_agy_agt_20160409.js,/agia_code/aia/Policy/sel_agy_agt_20160409.js:75,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,304,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:304,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,425,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:425,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,484,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:484,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,485,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:485,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,486,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:486,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,487,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:487,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,488,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:488,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,489,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:489,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,490,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:490,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,529,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:529,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/AHC/paqpb/report/,paqpb_rpt.asp,597,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp,agia_code/aia/AAComp/AHC/paqpb/report/paqpb_rpt.asp:597,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_20200814.asp,121,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_20200814.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_20200814.asp:121,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_20200814.asp,85,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_20200814.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_20200814.asp:85,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_29May20.asp,120,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_29May20.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_29May20.asp:120,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_29May20.asp,84,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_29May20.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_29May20.asp:84,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_8May2020.asp,121,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_8May2020.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_8May2020.asp:121,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/AAComp/paqpb/,aplus_paqpb_select_date_8May2020.asp,85,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_8May2020.asp,agia_code/aia/AAComp/paqpb/aplus_paqpb_select_date_8May2020.asp:85,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_fetch_acra.asp,55,agia_code/aia/Agency/Declaration/declaration_fetch_acra.asp,agia_code/aia/Agency/Declaration/declaration_fetch_acra.asp:55,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_fetch_annex.asp,72,agia_code/aia/Agency/Declaration/declaration_fetch_annex.asp,agia_code/aia/Agency/Declaration/declaration_fetch_annex.asp:72,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_fetch_annex.asp,74,agia_code/aia/Agency/Declaration/declaration_fetch_annex.asp,agia_code/aia/Agency/Declaration/declaration_fetch_annex.asp:74,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,291,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:291,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,294,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:294,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,295,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:295,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,296,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:296,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,299,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:299,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,304,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:304,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,declaration_hist.asp,309,agia_code/aia/Agency/Declaration/declaration_hist.asp,agia_code/aia/Agency/Declaration/declaration_hist.asp:309,No,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,NoFaActivity_create.asp,645,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp:645,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,NoFaActivity_create.asp,646,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp:646,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,NoFaActivity_create.asp,647,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp:647,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,NoFaActivity_create.asp,651,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp,agia_code/aia/Agency/Declaration/NoFaActivity_create.asp:651,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,NoFaActivity_download.asp,53,agia_code/aia/Agency/Declaration/NoFaActivity_download.asp,agia_code/aia/Agency/Declaration/NoFaActivity_download.asp:53,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,167,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:167,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,169,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:169,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,431,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:431,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,515,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:515,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,521,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:521,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,616,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:616,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,625,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:625,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,628,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:628,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_form.asp,629,agia_code/aia/Agency/Declaration/tin_agent_form.asp,agia_code/aia/Agency/Declaration/tin_agent_form.asp:629,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,130,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:130,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,131,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:131,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,132,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:132,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,133,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:133,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,134,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:134,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,230,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:230,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,239,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:239,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,240,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:240,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,252,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:252,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agency/Declaration/,tin_agent_view.asp,76,agia_code/aia/Agency/Declaration/tin_agent_view.asp,agia_code/aia/Agency/Declaration/tin_agent_view.asp:76,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1054,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1054,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1096,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1096,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1101,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1101,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1102,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1102,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1113,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1113,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1124,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1124,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1126,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1126,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1141,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1141,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1142,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1142,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1154,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1154,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1165,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1165,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1177,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1177,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1187,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1187,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1203,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1203,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1212,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1212,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1227,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1227,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1228,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1228,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1239,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1239,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1244,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1244,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1245,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1245,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1256,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1256,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1269,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1269,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1280,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1280,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1292,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1292,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1302,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1302,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1361,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1361,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1361,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1361,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1363,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1363,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1363,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1363,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1418,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1418,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1418,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1418,Yes,Batch 3,,Fuad Najibullah
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),agia_code/aia/Agent/ams/,agent_update_ams.asp,1420,agia_code/aia/Agent/ams/agent_update_ams.asp,agia_code/aia/Agent/ams/agent_update_ams.asp:1420,Yes,Batch 3,,Fuad Najibullah
